Unnamed: 0,Title,Platform,Userscore,Comment,Username
88280,Far Cry 3,PlayStation3,9,far cry 3 is the best far cry game yet some peapls saying the second one is better just because the map editer   i dont about the map editer or all that **** because they are wrong there are spoilers in these review because the game releised before 4 years so you been played the game so lets talking about the gameplay u feel yourself bad ass u can takedown enemys shooting throwing molotovfar cry 3 is the best far cry game yet some peapls saying the second one is better just because the map editer   i dont about the map editer or all that **** because they are wrong there are spoilers in these review because the game releised before 4 years so you been played the game so lets talking about the gameplay u feel yourself bad ass u can takedown enemys shooting throwing molotov greande and c4 the had alot of weapons and awsome skill points or your tattoo are helpful and let the gameplay alot fun like making takedown and launch the greande in enemys pocket and kick there ass or making 3 enemy in the same time the game had a solid stealth mechanic u can hunt animals alot animals or pick up syring kit to craft them the greenleaf to regenerate your health bar and animals for crafting animals skin to craft your wallet to pickup more money or rootsack to hold more stuff and u can them in the shop the game it self had amazing graphics and stuuing visual u can ride vechles like cars boats and baggi the openworld is big tons of acctivities and detail u can play with your friends co op the includs a pointless multplayer it just not that great okay when u finish the game u unlock the wingsuit which is very great this game is **** awsome one of the best games in the year,omer123
126435,Assassin's Creed: Brotherhood,PC,9,fun addicting great with cool multiplayer mode and a fantastic open world experience,omer123
129026,Rise of the Tomb Raider: 20 Year Celebration,PlayStation4,9,this games badass its the best in the franchise involving story great charecters exellent combat  very strong gameplay and graphical improvment from the previous games,omer123
138392,Battlefield 1,PC,8,Battlefield 1 made me exicited it wasn't as fun as bad company but earn it and 8.7/10 really great game my second favorite in the bf franchise,omer123
145773,Call of Duty: Modern Warfare 3,PlayStation3,9,alot of peaple **** about this game dont lession to them i can tell this game is a realy exellent cod game the game had an a great multiplayer spiecal ops rocks its awsome espicaly the new survival mode and the ending badass the best cod ending in the franchise maybe the story is  forgetable but still the mission in the campain are fun i enjoyed all of them they add new map great weaponalot of peaple **** about this game dont lession to them i can tell this game is a realy exellent cod game the game had an a great multiplayer spiecal ops rocks its awsome espicaly the new survival mode and the ending badass the best cod ending in the franchise maybe the story is  forgetable but still the mission in the campain are fun i enjoyed all of them they add new map great weapon mods there even the cod elite alot of  great stuff its not better than the legendary modern warfare 2 but still the game is blast,omer123
152585,Marvel's Spider-Man,PlayStation4,10,really great best game ever made and my favorite Spiderman ever made cool game oiqwerhiou3qwrhiouqwr2iu39rh3qu9rhiou2q,omer123
156761,Batman: Arkham Knight,PlayStation4,9,arkham knight may not be better than arkham city but worthy conclusion for the arkham franchise and it delivers,omer123
184194,Assassin's Creed II,PC,10,Fantastic My Favorite Assassin's Creed Game in the Hole Franchise My Favorite Game of 2009,omer123
194400,Assassin's Creed III,PlayStation3,8,assassins creed 3 is not the best assassins creed game but it still solid game in the franchise its slightly better than revelation let me explain why i realy like the new gameplay u can climb trees  this time and combat is exllent but the problem it just make the game sow easy u play as conner he's accualy a weak charecter for me ezio is much better the first time i saw conner i thoughtassassins creed 3 is not the best assassins creed game but it still solid game in the franchise its slightly better than revelation let me explain why i realy like the new gameplay u can climb trees  this time and combat is exllent but the problem it just make the game sow easy u play as conner he's accualy a weak charecter for me ezio is much better the first time i saw conner i thought him an great english amircan but he's an india village it burns by charles lee and he's couple of crews  the excutted a pointless huting mechanic u just use it for sell u cannot crafting it on alot of things u accualy dont need to craft on this game i play the hole wihout crafting the problem u have to go to one sertent place to craft u cannot conner craft in the pause menu the best things in this game is the naval contract it feels fresh and great i like not all the side quest great i hate still there some of those borring quest like the libration mission who wihout cutsceans but who had cutscean is great and the assassination contract feel dissaointing the new assassins recrut is realy great u can let them kill your enemys u can use them on stealth u can let them tie u and go leberaet a fort they are awsome and those battles i so on the trailer are in the game but they are good but i hope they made it like the trrailer the game had huge openworld with great deatailed and content i had blast with ac3 but still i prefer brotherhood or ac 2 but ac3 is worth it on full price pick it up,omer123
208250,Middle-earth: Shadow of Mordor,PlayStation4,9,this is how lord of the ring games must be stunning visual fantastic story superb gameplay it had 20 missions th game is not too long  but the mission are not that great but still some element in the game let it amazing like a gameplay taking a half assassins creed +half  batman arkham= shadow of mordor in controls combat and a little stealth is batman gameplay the other like climb andthis is how lord of the ring games must be stunning visual fantastic story superb gameplay it had 20 missions th game is not too long  but the mission are not that great but still some element in the game let it amazing like a gameplay taking a half assassins creed +half  batman arkham= shadow of mordor in controls combat and a little stealth is batman gameplay the other like climb and hiding in haystacks  is like assassins creed skill three 3 weapons in this game sword and bow and dagger u use the dagger for steealth takedowns and swords to kick enemys asses bow even for stealth and hunting some of skill point make the bow sow **** great if u hold the L2 button and press squar any running enemys u will magickly  kills then cut there heads of it feels bad ass and u can brand any enemy those enemy well be your ally to defend u if u brand them u can gain intel to any of those captains or legendary captains these gameplay is satesfing i realy like this game the final verdic is 9.5 out of 10,omer123
227542,Assassin's Creed IV: Black Flag,PlayStation4,9,Assassins Creed IV Black Flag this is the best assassins creed game **** those people who hate this game it doesnt desrve that it had a great story amazing deatail and they realy make good job beetween the assassins and pirates u play as the badass edward kennway which is better than that weak conner the had a massive map its very big they throwing on it alot of exllent side mission andAssassins Creed IV Black Flag this is the best assassins creed game **** those people who hate this game it doesnt desrve that it had a great story amazing deatail and they realy make good job beetween the assassins and pirates u play as the badass edward kennway which is better than that weak conner the had a massive map its very big they throwing on it alot of exllent side mission and cool combat system satesfing gameplay if you are a huge fan for the franchise so this is the game to pickup its worth uour its worth 60 dollaars shut the **** up and pickitup ****,omer123
243246,Watch Dogs 2,PlayStation4,9,Huge Improvement comparing from the last game cool game great open world very cool excellent hacking system really like it,omer123
264709,Fortnite,PC,8,why this game is so popular its very decent it just made for kids it got some style on it but i still prefer pubg,omer123
280453,Watch Dogs,PlayStation4,8,It's overall great game but ass i expected to I thought i will be better since its  release but in the end i still enjoy it,omer123
283911,Assassin's Creed: Revelations,PC,7,this is weakest assassins creed game in the Ezio Franchise its not as great as 2 or brotherhood,omer123
146755,Counter-Strike,PC,8, Source is lot better than this. Do Not Buy It.,JukkaM.
269508,Red Orchestra: Ostfront 41-45,PC,9," Realistic and immersive gameplay, modest hardware requirements. Though not the best in terms of number of polygons, the graphics are atmospheric. The sounds are amazing. Online gaming only. Buy this, if you're interested in more tactical and slightly slow paced gritty action in wartorn environments.",JukkaM.
17375,The Legend of Zelda: Twilight Princess,GameCube,9," Return of great memories (from N64), however need somewhat of a different premise (storyline) and evolution. Hard to beat N64 Ocarina. Hopefully we'll get a surprise in the next upcoming version. Enjoying this one for now.",FrankC.
41141,The Elder Scrolls IV: Oblivion,PC,9," As everyone says, it's simply fantastic. The quests are engaging, and the voice acting is good. The engine is a marvel. Here's what I'd say though - unless you can download 3DMark and break 4000, with a CPU score of over 900, I wouldn't attempt it. If you don't know how to overclock your rig, it might be a good time to learn. It's simply not the same game As everyone says, it's simply fantastic. The quests are engaging, and the voice acting is good. The engine is a marvel. Here's what I'd say though - unless you can download 3DMark and break 4000, with a CPU score of over 900, I wouldn't attempt it. If you don't know how to overclock your rig, it might be a good time to learn. It's simply not the same game without the eye candy, the shadows and water and mist and reflecting surfaces, etc. THe world is big, and it's rich and you can't help but find things to do. Unlike Morrowwind, you won't get bored.",FrankC.
77580,Resident Evil 4: Wii Edition,Wii,10," Honestly, this game deserve something more like 9.8, but 10 is closer to that than 9 so I chose 10. It deserves this in MY opinion as it has more replay value than any game out today. New controls just make it that much better.",FrankC.
145874,LittleBigPlanet PS Vita,PlayStationVita,10,"I have always heard that little big planet is one of the best games on ps3/psp but i always ignored i never expected much of the game really i always figured it would a silly with no content and with some minigames.But then i played LBPV and i just sayed to myself ''WELL THIS GAME IS FREAKIN AWESOME!!!'' Not only is it a good platformer but it also has a great story that i never expectedI have always heard that little big planet is one of the best games on ps3/psp but i always ignored i never expected much of the game really i always figured it would a silly with no content and with some minigames.But then i played LBPV and i just sayed to myself ''WELL THIS GAME IS FREAKIN AWESOME!!!'' Not only is it a good platformer but it also has a great story that i never expected the mingames are great and very addicting and then theres ton of content to find the customization options are endless for those with creative then i recommend this game beacause literally u can do anything in create a level!!Jumping into levels with fans playing user created levels,addicting games,great lenghted story.This is my firs LBP and i loved i hope i get to try LBP 1&2 one day but for now i have this amazing game and i rate this games 3 out of 3, 5 stars, 10/10, 100 out of 100 the game is awesome if  u have a vita buy this game",SuperVideogamer
201823,Mortal Kombat,PlayStationVita,9,"MK Might just be the best fighting game on the vita right now I still haven't played DOA plus,But trust ,me this game is well worth your money first off The DLC makes the game so much more fun,There are tons of modes to enjoy for a long time including a challenge tower with hundreds of difficult tasks to complete plus for tha a bonus challenge tower!!!!,A fascinating,amazing,interestingMK Might just be the best fighting game on the vita right now I still haven't played DOA plus,But trust ,me this game is well worth your money first off The DLC makes the game so much more fun,There are tons of modes to enjoy for a long time including a challenge tower with hundreds of difficult tasks to complete plus for tha a bonus challenge tower!!!!,A fascinating,amazing,interesting entertaining and long story mode!,is the best story mode I've seen in a fighting game for a while,The mini games are fun and the new ones 2!,the game uses the vita's features perfectly,the gameplay runs smoothly and backgrounds look great with tons of content to unlock,adhoc & is a very awesome game there's still some problems I have with the game especially the visuals just look gross and unpleasant which fatalities unfun to watch which really hurts and the online play is pretty slow anyways the game is amazing and if your making a choice between Sfxtk,UNVC3 or MK pick MK toons of stuff!!!!!that is way my final score is 8.5(Best fighting game on the vita yet its epic!!!!!!)",SuperVideogamer
240589,Bully: Scholarship Edition,Wii,8,"this was my first bully game ive have never heard or played bully before in my lfe i played for the first this year 2013 so lets begin my review:I'll begin with my positive thoughts the bad thoughts about the game,first off i liked how the story beagan and it keeps gettin better,through out the story you'll meet many characters some annoying,some funny,some likeable and the protagonistthis was my first bully game ive have never heard or played bully before in my lfe i played for the first this year 2013 so lets begin my review:I'll begin with my positive thoughts the bad thoughts about the game,first off i liked how the story beagan and it keeps gettin better,through out the story you'll meet many characters some annoying,some funny,some likeable and the protagonist jimmy is a suprisingly likeable character.,The free roaming is great its very fun to travel around the school with also lots of hidden content,Going to classes is fun,interacting with any person in the game makes the game feel alive,the fighting controls work great on the wii jimmy equips diffrent items the dialouge great but the graphics and the motion controls annoy me(like pointing at the sensor bar) but those are just minor flaws of the game but mann is it fun i dunno about the 360 version but bully scholarship edition is a truly unique game worth your money and thats why my review ends with a 8/10",SuperVideogamer
283391,Uncharted: Golden Abyss,PlayStationVita,8,"UGA is a great adventure/action game for the playstation vita,I have never played uncharted before so this was my first one and i loved it!!!!,First of all the story is great,nice dialogue,the action cinematics look amazing on tha portable and the quick-time events one are awesome,the game is also repeatable beacause of all the hidden objects and the diffulcity is good,lots of differentUGA is a great adventure/action game for the playstation vita,I have never played uncharted before so this was my first one and i loved it!!!!,First of all the story is great,nice dialogue,the action cinematics look amazing on tha portable and the quick-time events one are awesome,the game is also repeatable beacause of all the hidden objects and the diffulcity is good,lots of different guns and the game uses the vitas controls nicely but tha bad thing about tha game is the fighting mechanic u have to only use the touch screen to fight,which gets really annoying sometimes.I wish u could use velhicles like motocycles,cars etc. and there should have been multiplayer but the game is very entertaining thats why my final score is 8/10(A wild ride well worth your money!!!!!!!)",SuperVideogamer
252652,Metal Gear Rising: Revengeance,Xbox360,7,Metal gear rising revengeance is the newest installment to the mgs series and though a lot of fans were not excited for this being a hack and slash game from a stealth game it does hold up being an awsome game though it does some problems. While theA.I. is good it seemed like the thing that really tried to kill me was the camera. The do try to incorporate some stealth but you will rarelyMetal gear rising revengeance is the newest installment to the mgs series and though a lot of fans were not excited for this being a hack and slash game from a stealth game it does hold up being an awsome game though it does some problems. While theA.I. is good it seemed like the thing that really tried to kill me was the camera. The do try to incorporate some stealth but you will rarely ever do that but it is nice to see the old card board box back. The story isn't good but it's easy to under stand. The new blade mode is awsome were you can cut the  out of your enemy's and then out their cyborg spine and regain your health. So metal gear rising is a awsome game with a lot of replay ability if your a fan of mgs I suggest picking up this game.,rapidfire705
256266,Metro: Last Light,PC,9,Metro last light tries to be one of the big boys and it kinda does but it's got kind of a uneven story and the human A.I. Is not that great but it does make a pretty good shooter that you will want to play again and again. The game has survival horror elements that do scare the crap out of you even when your out side in the morning that's a good sign for a survival horror and theMetro last light tries to be one of the big boys and it kinda does but it's got kind of a uneven story and the human A.I. Is not that great but it does make a pretty good shooter that you will want to play again and again. The game has survival horror elements that do scare the crap out of you even when your out side in the morning that's a good sign for a survival horror and the environment looks just great and it's a lot better than the first game witch was alright. My biggest problem is that ranger difficulty cost 5$ unless you pre ordered it and that just pissed me off because that's supposed to give you the best experience but it doesn't ruin the game witch is great so I think you shouldn't pass this up.,rapidfire705
74490,World of Warcraft: Wrath of the Lich King,PC,7,"Compared to my experience pre Wrath of the Lich King, less fun. With that said, having played since release it was a great deal of fun, though all content as far as raids go felt ""nerfed"" especially in early tiers - while they were 'current content'. The player vs. player aspects of the game are quite fun as always.  This expansion also introduced the achievement system (implemented preCompared to my experience pre Wrath of the Lich King, less fun. With that said, having played since release it was a great deal of fun, though all content as far as raids go felt ""nerfed"" especially in early tiers - while they were 'current content'. The player vs. player aspects of the game are quite fun as always.  This expansion also introduced the achievement system (implemented pre wrath release).  Overall decent, but it is no Burning Crusade as far as 'epic feel' and difficulty.",Alladaskill17
159246,Call of Duty: Black Ops,Xbox360,8,"Call of Duty: Black Ops has a magnificent campaign that is quite in depth and theatrical in nature. Though, as with the COD series the graphics are not top notch; this is nice for the multiplayer though as it keeps the fps high. The addition of new game types (gun game, 1 bullet in the chamber etc.) adds a great deal to the online experience.  Overall the online is fun, kills hours forCall of Duty: Black Ops has a magnificent campaign that is quite in depth and theatrical in nature. Though, as with the COD series the graphics are not top notch; this is nice for the multiplayer though as it keeps the fps high. The addition of new game types (gun game, 1 bullet in the chamber etc.) adds a great deal to the online experience.  Overall the online is fun, kills hours for each of my roommates and myself and it should be stated again the campaign is really well done.",Alladaskill17
183273,Heroes of the Storm,PC,8,"In the end it's just a waste of time and money, Heroes 2.0 it's made in special so that they can keep players a little longer. There are far better games to invest time on like Rainbow Six Siege and others. Still better than Lol or Dota , but nowhere near being a decent game",TheEyeszlader
241405,Counter-Strike: Global Offensive,PC,5,Don't go for the hype is a very bad game that looks good because of esports and youtube videos. In fact this game is the worst multiplayer shooter besides Call of Duty. And you can't make money if you don't invest at least a couple hundres of dollars first. And the casino sites are rigged this game is just a massive waste of time and money for 95% of the players!,TheEyeszlader
14539,Uncharted 2: Among Thieves,PlayStation3,10,"Absolutely amazing game. The graphics, gameplay, characters, sound, environments, art-style, story and pure epicness are all masterfully done which makes for one of the best, most memorable gaming experiences ever. If you have a PS3 buy this game, it's as simple as that.",Ligas
60763,God of War III,PlayStation3,10,"This is the best console game for ever!!! Graphics, story, voice acting, action. One of the best gaming experiences to be had bar none. As many have said before it is like playing in a real action movie and if you like action at all you will love this game.",Ligas
204056,inFamous,PlayStation3,9,"Fun game to play. I liked this game a lot, finally a robust superhero game. Like most superhero games it gets old BUT, this is has the chance to choose whether to be a hero or a villain.",Ligas
15604,Resident Evil 4,GameCube,10, This is the best game I have ever had the pleasure of playing. It is a dramiatic improval over past RE games. The guns and bosses are amazing. I've beat it more than ten times. Before this game I just seen the Gamecube as a waste of money because of the poor game selection. But when I first got this i was blown away. This game did to the gamecube like God of War did for PS2 and Halo This is the best game I have ever had the pleasure of playing. It is a dramiatic improval over past RE games. The guns and bosses are amazing. I've beat it more than ten times. Before this game I just seen the Gamecube as a waste of money because of the poor game selection. But when I first got this i was blown away. This game did to the gamecube like God of War did for PS2 and Halo did for XBOX. I would buy a game cube just to get this game.,Nathdman
77806,Shadow of the Colossus,PlayStation2,9," It's and awesome game, with its amazing graphics and game play. The only bad thing is that you have to go all over the world map, which can be extremely difficult.",Nathdman
186360,Bad Request,not specified,9," This was with no dought the best game in the PoP series. It had excelent gameplay and an awesome story. It's a lot easier than the first 2, but it can still be insanely hard at times. I would recomend renting it, and not buying it though. It's not that long and you would probably end up breaking a controller.",Nathdman
262016,Ratchet: Deadlocked,PlayStation2,9, In my opinion this game is alot like PoP 3. It is very fun and interesting but it's to flippin short.,Nathdman
403,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"played this game a lot when was younger...  just got an emulator to play it again... I still love it... people need to remember that this game was created in 1998, not 2014.  We have come a huge way since then in graphics.  The game it self is still one of my top favorites and I think will be the only game with a perfect score.  those that voted with a ""0"" ether didn't play the game allplayed this game a lot when was younger...  just got an emulator to play it again... I still love it... people need to remember that this game was created in 1998, not 2014.  We have come a huge way since then in graphics.  The game it self is still one of my top favorites and I think will be the only game with a perfect score.  those that voted with a ""0"" ether didn't play the game all the way or are just hating on Zelda in general. I bet I bet if there is a remake, It will be the best game of all time",bjl26
173870,Titanfall,PC,7,"Great game.  Very fast paced game and gets intense.  This is an Honest rating on the game. many below and most likely above will give 0-4 or 8-10... It doesnt deserve any of those.  The games graphics are a 7.5/10 which is not bad, game play is a 9/10, content is a 5/10... I will say that the game is lacking in game content and will get repetitive.  The developers should have made mapGreat game.  Very fast paced game and gets intense.  This is an Honest rating on the game. many below and most likely above will give 0-4 or 8-10... It doesnt deserve any of those.  The games graphics are a 7.5/10 which is not bad, game play is a 9/10, content is a 5/10... I will say that the game is lacking in game content and will get repetitive.  The developers should have made map packs and sold them for $25 when there is no content to start with.  Had the game been valued at say, 30 or 40 dollars... this rating would be higher more around a 8 or maybe 9.  The game play is VERY VERY fun.  Considering this game was made from a branch off Infinity Ward, the company is newer, so I wasnt expecting a very great graphic intense game.  The graphics are good though like i said, a 7.5/10 for our time. The 6 vs 6 in the game is right on and makes the game enjoyable.  No one wants 30 bots running around on a map at a time, that wont be fun.  The campaign mode is fun, but note *it is a multi-player  6 vs 6*.. same thing as multi player but has dialog and a little story behind why you are fighting.  I'm just angered at at the content.... It's low.. and they want to sell a little bit more content later for $25 more...   If they add more FREE content the game will advance and be better in all.  Just like the Mass Effect 3 multiplayer.  started small, ended up big after FREEEEE....FREEEE DLC.  so again... game play 9/10... graphics 7.5/10... content 5/10",bjl26
31611,God of War,PlayStation4,10,"It's different to previous entries, but everything was changed for the better. Kratos feels like a complete, ""real"" person rather than the one dimensional character from the first 3 games, the voice acting, combat, OST, all are remarkable. No BS micro transactions or anything of the sort. A must play.",Yan_
229425,Deus Ex: Mankind Divided,PC,8,"Combat is refined to its best point in any entry of the saga. Unfortunately, story falls way too short. It feels as if we only got half a game because just when it's getting as interesting as Human Revolution, it ends! Regardless, it;s pretty fun to play and the side quests are huge and sometimes more interesting than the main story. Music is beautiful, environments are extremely wellCombat is refined to its best point in any entry of the saga. Unfortunately, story falls way too short. It feels as if we only got half a game because just when it's getting as interesting as Human Revolution, it ends! Regardless, it;s pretty fun to play and the side quests are huge and sometimes more interesting than the main story. Music is beautiful, environments are extremely well designed, and most of Adam's new augs are welcome additions. If the story wasn't so bad, it would be a 10/10.",Yan_
